1,z,全国
2,hokkaido-tohoku,北海道/東北
3,kanto,関東
4,chubu,中部
5,kansai,関西
6,chugoku-shikoku,中国・四国
7,kyushu-okinawa,九州・沖縄
11,hokkaido,北海道
12,aomori,青森県
13,iwate,岩手県
14,miyagi,宮城県
15,akita,秋田県
16,yamagata,山形県
17,fukushima,福島県
18,ibaraki,茨城県
19,tochigi,栃木県
20,gunma,群馬県
21,saitama,埼玉県
22,chiba,千葉県
23,tokyo,東京都
24,kanagawa,神奈川県
25,nigata,新潟県
26,toyama,富山県
27,ishikawa,石川県
28,fukui,福井県
29,yamanashi,山梨県
30,nagano,長野県
31,gifu,岐阜県
32,shizuoka,静岡県
33,aichi,愛知県
34,mie,三重県
35,shiga,滋賀県
36,kyoto,京都府
37,osaka,大阪府
38,hyogo,兵庫県
39,nara,奈良県
40,wakayama,和歌山県
41,tottori,鳥取県
42,shimane,島根県
43,okayama,岡山県
44,hiroshima,広島県
45,yamaguchi,山口県
46,tokushima,徳島県
47,kagawa,香川県
48,ehime,愛媛県
49,kochi,高知県
50,fukuoka,福岡県
51,saga,佐賀県
52,nagasaki,長崎県
53,kumamoto,熊本県
54,oita,大分県
55,miyazaki,宮崎県
56,kagoshima,鹿児島県
57,okinawa,沖縄県
